,carat,depth,table,price,cut_encoded,color_encoded,clarity_encoded,carat_bins
1,-1.231410677425271,-1.6073313132071037,1.9567692607987648,-0.8840774714218,-0.1628038979754592,0.9065888259721351,-0.7063160783696888,"(0.197, 0.46]"
2,-1.186990337832672,-4.144435901685179,3.977448164970985,-0.8838209414876341,-2.2054990752037784,0.9065888259721351,0.5220254387712586,"(0.197, 0.46]"
7,-1.120359828443773,0.22988235431150447,-1.0742490954595656,-0.8812556421459752,-1.1841514865896188,-0.8648325404993735,-0.7063160783696888,"(0.197, 0.46]"
10,-1.0315191492585747,2.067096021830112,-1.0742490954595656,-0.8807425822776435,-2.2054990752037784,-2.0457801181470456,-0.7063160783696888,"(0.197, 0.46]"
11,-1.186990337832672,1.017259640390906,-0.5690793694165106,-0.8804860523434775,0.8585436906387004,-2.0457801181470456,0.5220254387712586,"(0.197, 0.46]"
17,-1.0315191492585747,1.5421778311105092,-1.5794188215026206,-0.8776642230676527,-2.2054990752037784,-2.0457801181470456,-0.7063160783696888,"(0.197, 0.46]"
18,-1.0315191492585747,1.8921232915902426,-0.5690793694165106,-0.8776642230676527,-2.2054990752037784,-2.0457801181470456,-0.7063160783696888,"(0.197, 0.46]"
20,-1.0315191492585747,1.4546914659905743,-0.5690793694165106,-0.8776642230676527,-2.2054990752037784,-1.4553063293232096,-1.3204868369401626,"(0.197, 0.46]"
21,-1.186990337832672,1.8921232915902426,-1.0742490954595656,-0.8774076931334868,-1.1841514865896188,0.9065888259721351,-0.09214531979921493,"(0.197, 0.46]"
22,-1.186990337832672,-0.5574949317678972,-0.06390964337345549,-0.8771511631993208,-1.1841514865896188,-0.8648325404993735,0.5220254387712586,"(0.197, 0.46]"
23,-1.0093089794622752,-1.9572767736868368,2.4619389868418198,-0.8771511631993208,-1.1841514865896188,-2.0457801181470456,-0.7063160783696888,"(0.197, 0.46]"
27,-1.0315191492585747,0.49234144967130916,-0.06390964337345549,-0.8761250434626573,-1.1841514865896188,-2.0457801181470456,-0.09214531979921493,"(0.197, 0.46]"
28,-1.186990337832672,-0.9949267573675655,1.9567692607987648,-0.8761250434626573,-1.1841514865896188,1.4970626147959714,-0.09214531979921493,"(0.197, 0.46]"
34,-1.186990337832672,0.22988235431150447,0.44126008266959954,-0.864581196425192,-1.1841514865896188,1.4970626147959714,0.5220254387712586,"(0.197, 0.46]"
37,-1.0093089794622752,2.067096021830112,-1.5794188215026206,-0.864581196425192,-2.2054990752037784,-0.8648325404993735,-0.7063160783696888,"(0.197, 0.46]"
44,-0.9870988096659755,1.2797187357507107,-0.5690793694165106,-0.8643246664910261,-2.2054990752037784,-0.8648325404993735,-1.3204868369401626,"(0.197, 0.46]"
45,-1.0537293190548744,0.6673141799111727,0.44126008266959954,-0.8643246664910261,-0.1628038979754592,0.3161150371482988,-0.7063160783696888,"(0.197, 0.46]"
46,-0.9870988096659755,0.1423959891915696,-1.0742490954595656,-0.8643246664910261,-1.1841514865896188,-0.8648325404993735,-1.3204868369401626,"(0.197, 0.46]"
48,-1.1425699982400728,1.4546914659905743,1.4515995347557098,-0.8640681365568602,-1.1841514865896188,0.9065888259721351,-0.09214531979921493,"(0.197, 0.46]"
50,-1.1647801680363723,-0.6449812968878321,1.9567692607987648,-0.8640681365568602,-1.1841514865896188,0.3161150371482988,-0.7063160783696888,"(0.197, 0.46]"
51,-1.186990337832672,0.22988235431150447,-1.5794188215026206,-0.8640681365568602,0.8585436906387004,-0.27435875167553736,0.5220254387712586,"(0.197, 0.46]"
55,-1.0315191492585747,-0.5574949317678972,0.9464298087126546,-0.8638116066226943,0.8585436906387004,-1.4553063293232096,-1.3204868369401626,"(0.197, 0.46]"
59,-1.0315191492585747,1.3672051008706456,-1.0742490954595656,-0.8638116066226943,-2.2054990752037784,-1.4553063293232096,-0.7063160783696888,"(0.197, 0.46]"
60,-0.9204683002770768,-0.6449812968878321,-0.06390964337345549,-0.8261017063003078,0.8585436906387004,-1.4553063293232096,0.5220254387712586,"(0.197, 0.46]"
64,-0.7649971117029796,-0.12006310616822889,0.9464298087126546,-0.8261017063003078,-0.1628038979754592,-1.4553063293232096,-1.3204868369401626,"(0.197, 0.46]"
